"canonical_variable_name","proposed_taxonomy_name","source_row_count","cluster_families_reported","roles_reported","canonical_definition_master","merge_notes","priority"
"NEW_shadow_price_of_water","shadow_price_of_water","1","irrigation_challenges","mediator","Marginal economic value/opportunity cost of irrigation water under scarcity constraints.","Single-source candidate from current batch.","high"
"NEW_water_use_efficiency","water_use_efficiency","3","drought|irrigation_challenges","mediator","Efficiency of converting water use into biomass/yield or productive output under constrained water availability.","Merged repeated WUE mentions across drought and irrigation contexts.","high"
"NEW_waterlogging_area","waterlogging_area","1","irrigation_challenges","mediator","Area affected by shallow water table/waterlogging due to seepage, over-irrigation, or poor drainage.","Single-source candidate from current batch.","high"
"NEW_welfare_loss","welfare_loss","1","irrigation_challenges","outcome","Monetized welfare or equivalent-variation loss attributable to water scarcity and related impacts.","Single-source candidate from current batch.","medium"
"NEW_crop_insurance_adoption","crop_insurance_adoption","1","rainfed_risk","outcome","Adoption share of crop insurance as a risk-transfer response to rainfed production uncertainty.","Single-source candidate from current batch.","medium"
"NEW_crop_residue_burning","crop_residue_burning","1","rainfed_risk","driver","Fraction of crop residues burned, affecting soil health, emissions, and agro-ecological resilience.","Single-source candidate from current batch.","medium"
"NEW_drought_tolerant_variety_adoption","drought_tolerant_variety_adoption","1","rainfed_risk","outcome","Adoption share of drought-tolerant crop varieties as a climate risk adaptation variable.","Single-source candidate from current batch.","high"
"NEW_farmer_organization_membership","farmer_organization_membership","1","rainfed_risk","context","Farmer participation in cooperatives/producer groups influencing adaptation uptake and institutional support.","Single-source candidate from current batch.","medium"
"NEW_fertilizer_consumption","fertilizer_consumption","1","rainfed_risk","context","Fertilizer consumption intensity or share representing input-use context in low-water systems.","Potential overlap with NEW_fertilizer_use_intensity; evaluate in alias pass.","medium"
"NEW_food_trade_balance","food_trade_balance","1","irrigation_challenges","outcome","Net food trade balance used as macro-level buffer/outcome under domestic water scarcity shocks.","Single-source candidate from current batch.","medium"
"NEW_institutional_credit_access","institutional_credit_access","1","rainfed_risk","context","Access to formal agricultural credit enabling investment in adaptation and risk management.","Single-source candidate from current batch.","high"
"NEW_intercropping_adoption","intercropping_adoption","1","rainfed_risk","outcome","Adoption share of intercropping as diversification strategy reducing rainfed crop failure risk.","Single-source candidate from current batch.","high"
"NEW_land_holding_size","land_holding_size","1","rainfed_risk","context","Operational farm size as structural context for adaptation capacity and technology uptake.","Single-source candidate from current batch.","high"
"NEW_livestock_mortality","livestock_mortality","1","drought","outcome","Livestock mortality/migration impacts linked to drought-driven fodder and water shortages.","Single-source candidate from current batch.","medium"
"NEW_non_farm_income_availability","non_farm_income_availability","1","rainfed_risk","context","Availability of non-farm income that buffers household risk and affects adaptation decisions.","Single-source candidate from current batch.","medium"
"NEW_soil_erosion","soil_erosion","1","rainfed_risk","mediator","Wind/water soil erosion rate reducing soil depth, fertility, and moisture-retention capacity.","Single-source candidate from current batch.","high"
"NEW_soil_organic_carbon","soil_organic_carbon","1","rainfed_risk","mediator","Soil organic carbon stock/concentration affecting soil health, water retention, and productivity resilience.","Single-source candidate from current batch.","high"
"NEW_varietal_diversification_index","varietal_diversification_index","1","rainfed_risk","outcome","Index-based measure of varietal diversification as ex-ante risk management in rainfed farming.","Single-source candidate from current batch.","medium"
"NEW_water_holding_capacity","water_holding_capacity","1","rainfed_risk","mediator","Soil water-holding capacity controlling moisture persistence between rainfall events.","Single-source candidate from current batch.","high"
